,Station,Cluster Label,EM Label,name,longitude,latitude
0,31000,2,1,Eads St & 15th St S,-77.05323,38.858971
1,31001,4,1,18th St & S Eads St,-77.05332,38.85725
2,31002,4,2,Crystal Dr & 20th St S,-77.049232,38.856425
3,31003,4,1,Crystal Dr & 15th St S,-77.049593,38.86017
4,31004,3,0,Aurora Hills Cmty Ctr / 18th St & S Hayes St,-77.05949,38.857866
5,31005,4,1,Pentagon City Metro / 12th St & S Hayes St,-77.059936,38.862303
6,31006,2,1,Army Navy Dr & S Joyce St,-77.0633,38.8637
7,31007,4,2,Crystal City Metro / 18th St & S Bell St,-77.05113172531128,38.85740496261504
8,31009,0,2,Crystal Dr & 27th St S,-77.051514,38.848466
9,31010,4,1,S Glebe Rd & Potomac Ave,-77.0502,38.8426
10,31011,0,2,Crystal Dr & 23rd St S,-77.0498,38.8533
11,31012,0,2,Clark St & 26th St S,-77.05152,38.850688
12,31013,2,1,Eads St & 22nd St S,-77.05341160297394,38.85438051517749
13,31014,0,2,Lynn St & 19th St North,-77.070993,38.897315
14,31015,0,2,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,-77.072305,38.8946
15,31016,4,1,Clarendon Blvd & Pierce St,-77.076389,38.893438
16,31017,0,2,Wilson Blvd & N Uhle St,-77.0846,38.891696
17,31018,3,0,Rhodes St & 16th St N,-77.079375,38.892164
18,31019,2,1,Wilson Blvd & N Edgewood St,-77.0925,38.889
19,31020,4,2,Wilson Blvd & N Franklin Rd,-77.0889,38.8904
20,31021,4,2,Clarendon Blvd & N Fillmore St,-77.09308,38.8881
21,31022,4,2,Clarendon Metro / Wilson Blvd & N Highland St,-77.094875,38.88786
22,31023,4,2,Fairfax Dr & Wilson Blvd,-77.097745,38.885801
23,31024,4,2,Virginia Square Metro / Monroe St & 9th St N,-77.103148,38.882788
24,31025,2,1,Central Library / Quincy St & 10th St N,-77.10783,38.88397
25,31026,4,1,Washington Blvd & 10th St N,-77.093485,38.884734
26,31027,2,1,Key Blvd & N Quinn St,-77.078408,38.896355
27,31028,0,2,N Veitch St & Key Blvd,-77.086063,38.893237
28,31029,2,2,N Veitch St & 20th St N,-77.086502,38.896923
29,31030,2,0,Lee Hwy & N Adams St,-77.089006,38.89593
30,31031,2,0,15th St & N Scott St,-77.08095,38.89054
31,31032,2,1,Washington Blvd & 7th St N,-77.090792,38.88081
32,31033,4,1,Barcroft Community Center,-77.1009886264801,38.85033657788445
33,31034,2,1,Fairfax Dr & N Randolph St,-77.109366,38.882629
34,31035,2,0,N Quincy St & Glebe Rd,-77.107735,38.876393
35,31036,2,0,George Mason Dr & Wilson Blvd,-77.1207,38.87887
36,31037,0,2,Ballston Metro / Stuart St & 9th St N,-77.111768,38.881044
37,31038,0,2,Glebe Rd & 11th St N,-77.116817,38.883921
38,31039,2,2,Wilson Blvd & N Quincy St,-77.107854,38.880012
39,31040,4,1,GMU / Fairfax Dr & Kenmore St,-77.10108,38.884616
40,31041,4,2,Prince St & Union St,-77.040363,38.803124
41,31042,0,2,Market Square / King St & Royal St,-77.043363,38.804718
42,31043,2,1,Saint Asaph St & Pendleton  St,-77.044664,38.810743
43,31044,4,2,King St & Patrick St,-77.049883,38.805317
44,31045,4,1,Commerce St & Fayette St,-77.05293,38.805648
45,31046,2,1,Henry St & Pendleton St,-77.050276,38.811456
46,31047,4,2,Braddock Rd Metro,-77.052808,38.814577
47,31048,4,2,King St Metro South,-77.060626745224,38.80576284873485
48,31049,4,2,Utah St & 11th St N ,-77.113905,38.883669
49,31050,3,0,Barton St & 10th St N,-77.08777,38.884961
50,31051,2,0,Arlington Blvd & N Queen St,-77.077294,38.889365
51,31052,4,1,Potomac Ave & 35th St S,-77.050537,38.844015
52,31053,2,0,Columbia Pike & S Courthouse Rd,-77.080319,38.863833
53,31055,2,1,28th St & S Meade St,-77.069275,38.846222
54,31056,2,0,Troy St & 26th St S,-77.075104,38.847977
55,31057,2,1,Four Mile Run Dr & S Shirlington Rd,-77.085931,38.8444
56,31059,2,0,Four Mile Run Dr & S Walter Reed Dr,-77.095431,38.84736
57,31060,4,1,S Arlington Mill Dr & Campbell Ave,-77.089555,38.84232
58,31062,4,1,Roosevelt Island,-77.06714,38.896553
59,31063,2,1,S George Mason & Four Mile Run Dr,-77.105022,38.852248
60,31065,2,0,Pershing Dr & Wayne St,-77.08596,38.880705
61,31066,2,1,Columbia Pike & S Orme St,-77.072315,38.867262
62,31067,2,0,Columbia Pike & S Walter Reed Dr,-77.086599,38.862478
63,31068,2,1,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,-77.11153,38.856319
64,31069,2,0,Pershing Dr & N George Mason Dr,-77.107906,38.871822
65,31070,3,0,Arlington Blvd & Fillmore St,-77.089233,38.873755
66,31071,4,1,Eads St & 12th St S,-77.05428,38.862753
67,31073,4,1,Washington Blvd & Walter Reed Dr ,-77.082104,38.873219
68,31074,2,0,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,-77.095596,38.869418
69,31075,2,0,Rolfe St & 9th St S,-77.076131,38.866471
70,31076,0,2,Shirlington Transit Center / Quincy St & Randolph St,-77.087083,38.839912
71,31077,2,2,Iwo Jima Memorial / Meade & 14th St N,-77.071301,38.88992
