,Station,Cluster Label,EM Label,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0
0,31000,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,24.0,17.0,8.0,4.0,8.0,12.0,4.0,10.0,10.0,21.0,18.0,7.0,10.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,10.0,11.0,3.0,8.0,34.0,36.0,24.0,15.0,11.0,5.0,3.0,5.0
1,31001,4,1,3.0,1.0,0.0,1.0,2.0,0.0,2.0,13.0,24.0,6.0,8.0,5.0,4.0,8.0,8.0,7.0,20.0,20.0,21.0,14.0,17.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,18.0,12.0,5.0,3.0,8.0,5.0,6.0,6.0,1.0,20.0,17.0,15.0,18.0,16.0,8.0,4.0,4.0
2,31002,4,2,2.0,0.0,0.0,1.0,0.0,0.0,22.0,48.0,89.0,42.0,17.0,30.0,36.0,40.0,17.0,17.0,46.0,82.0,88.0,55.0,26.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,17.0,38.0,85.0,59.0,17.0,32.0,41.0,30.0,22.0,31.0,54.0,101.0,85.0,44.0,31.0,7.0,3.0,5.0
3,31003,4,1,0.0,0.0,0.0,0.0,1.0,0.0,23.0,20.0,17.0,20.0,29.0,42.0,32.0,19.0,12.0,25.0,63.0,63.0,36.0,26.0,9.0,4.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,31.0,39.0,28.0,21.0,23.0,25.0,44.0,15.0,29.0,45.0,56.0,58.0,24.0,11.0,7.0,2.0,0.0
4,31004,3,0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,42.0,55.0,11.0,11.0,6.0,9.0,11.0,8.0,13.0,15.0,18.0,21.0,10.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,6.0,7.0,9.0,5.0,7.0,28.0,41.0,61.0,47.0,16.0,12.0,11.0,10.0,3.0
5,31005,4,1,1.0,0.0,1.0,0.0,16.0,0.0,2.0,35.0,44.0,27.0,14.0,26.0,17.0,29.0,29.0,31.0,55.0,109.0,91.0,43.0,33.0,22.0,19.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,57.0,49.0,70.0,32.0,20.0,14.0,30.0,35.0,23.0,26.0,56.0,84.0,58.0,42.0,29.0,11.0,7.0,2.0
6,31006,2,1,7.0,0.0,0.0,0.0,2.0,1.0,13.0,13.0,35.0,40.0,11.0,14.0,25.0,20.0,11.0,6.0,21.0,15.0,21.0,31.0,7.0,13.0,11.0,7.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,6.0,8.0,14.0,23.0,18.0,13.0,18.0,16.0,54.0,36.0,33.0,28.0,23.0,12.0,10.0,9.0
7,31007,4,2,2.0,1.0,0.0,0.0,0.0,0.0,14.0,79.0,93.0,56.0,27.0,17.0,23.0,23.0,31.0,23.0,51.0,138.0,116.0,43.0,25.0,13.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,22.0,101.0,105.0,14.0,16.0,12.0,42.0,23.0,26.0,55.0,96.0,74.0,31.0,30.0,5.0,23.0,7.0
8,31008,2,1,5.0,0.0,0.0,0.0,0.0,9.0,45.0,69.0,48.0,33.0,16.0,25.0,27.0,17.0,25.0,29.0,19.0,35.0,49.0,25.0,29.0,18.0,5.0,12.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,20.0,27.0,37.0,25.0,12.0,27.0,24.0,35.0,21.0,51.0,83.0,51.0,34.0,33.0,8.0,7.0,5.0
9,31009,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,16.0,9.0,5.0,8.0,9.0,6.0,5.0,18.0,34.0,66.0,31.0,13.0,11.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,54.0,75.0,15.0,6.0,6.0,10.0,14.0,3.0,4.0,18.0,13.0,11.0,12.0,7.0,5.0,4.0,3.0
10,31010,4,1,0.0,1.0,0.0,0.0,2.0,5.0,10.0,22.0,17.0,14.0,12.0,18.0,26.0,24.0,8.0,18.0,14.0,29.0,19.0,26.0,5.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,11.0,11.0,13.0,11.0,22.0,30.0,15.0,10.0,15.0,20.0,31.0,34.0,37.0,14.0,6.0,6.0,2.0
11,31011,0,2,4.0,1.0,0.0,0.0,0.0,5.0,10.0,15.0,20.0,14.0,17.0,29.0,44.0,52.0,21.0,27.0,76.0,84.0,48.0,30.0,24.0,10.0,8.0,3.0,1.0,1.0,0.0,1.0,0.0,8.0,28.0,58.0,121.0,44.0,25.0,39.0,30.0,22.0,10.0,21.0,29.0,23.0,46.0,24.0,27.0,8.0,4.0,1.0
12,31012,0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,8.0,6.0,8.0,22.0,8.0,11.0,20.0,79.0,50.0,10.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,48.0,60.0,43.0,9.0,7.0,8.0,10.0,3.0,6.0,2.0,7.0,11.0,3.0,2.0,4.0,4.0,1.0
13,31013,2,1,1.0,2.0,0.0,0.0,4.0,2.0,19.0,10.0,25.0,15.0,20.0,11.0,12.0,15.0,9.0,12.0,16.0,27.0,27.0,19.0,9.0,8.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,11.0,17.0,19.0,15.0,12.0,4.0,16.0,20.0,32.0,36.0,16.0,13.0,18.0,13.0,8.0
