,EM Label,variable,value
0,0,0,0.011735034366134068
1,1,0,0.006375925231983927
2,2,0,0.007275584917466097
3,3,0,0.0
4,0,1,0.006795062192490307
5,1,1,0.00391093463794003
6,2,1,0.003992119861936999
7,3,1,0.00031270766556133625
8,0,2,0.003783657923659888
9,1,2,0.0009631394673834375
10,2,2,0.0025584768624684986
11,3,2,0.0006922011998154131
12,0,3,0.0019495644950119038
13,1,3,0.0015226729408893734
14,2,3,0.0013846936392122673
15,3,3,0.0
16,0,4,0.0026149436956614857
17,1,4,0.0014469434210115572
18,2,4,0.0014471569842028967
19,3,4,8.197393228953192e-05
20,0,5,0.0033182652289307202
21,1,5,0.006439271987990033
22,2,5,0.006912136327113957
23,3,5,0.00016394786457906384
24,0,6,0.011040868163367258
25,1,6,0.017568178382982535
26,2,6,0.028795965405114313
27,3,6,0.04930423313704849
28,0,7,0.021525244020894806
29,1,7,0.03934474040615375
30,2,7,0.06947950534821745
31,3,7,0.09734199462109312
32,0,8,0.022683524136685514
33,1,8,0.05557963837034272
34,2,8,0.12026558135873483
35,3,8,0.4506715093368907
36,0,9,0.02147948463697067
37,1,9,0.053410633154307274
38,2,9,0.07201159084105142
39,3,9,0.18333121916731657
40,0,10,0.020753177400176286
41,1,10,0.03871435307603935
42,2,10,0.03638402941898224
43,3,10,0.030761233052330073
44,0,11,0.02747201450747908
45,1,11,0.042782173110192785
46,2,11,0.038708795300222934
47,3,11,0.031015729847449488
48,0,12,0.03115293650538451
49,1,12,0.06004505324332757
50,2,12,0.04545277392885277
51,3,12,0.01661409333715366
52,0,13,0.03480643999975104
53,1,13,0.07000081318584704
54,2,13,0.04434429373391453
55,3,13,0.016712259446552174
56,0,14,0.03157250652679565
57,1,14,0.04999490947644671
58,2,14,0.04137926597539076
59,3,14,0.01771381586893608
60,0,15,0.0478991905801829
61,1,15,0.05343753014709387
62,2,15,0.04629933506063034
63,3,15,0.015275963796736746
64,0,16,0.07851232504596681
65,1,16,0.06847069916030264
66,2,16,0.05944774887882621
67,3,16,0.010959022342781606
68,0,17,0.17309441434952147
69,1,17,0.10069189457224165
70,2,17,0.09991339254164588
71,3,17,0.02051873919820404
72,0,18,0.16967151172220163
73,1,18,0.12180421912692276
74,2,18,0.09532443290376226
75,3,18,0.02117692898616318
76,0,19,0.10935829310254405
77,1,19,0.08698428760123961
78,2,19,0.06478151198633374
79,3,19,0.01390587829905391
80,0,20,0.07138384201709977
81,1,20,0.055589302780655964
82,2,20,0.04490061994198189
83,3,20,0.008382298461297549
84,0,21,0.04552491172217251
85,1,21,0.03223245726437959
86,2,21,0.03156314750316628
87,3,21,0.005559192856076503
88,0,22,0.029684121874158285
89,1,22,0.020136895928716498
90,2,22,0.02385885137743274
91,3,22,0.006033337051611767
92,0,23,0.02218866578675931
93,1,23,0.012553333325609059
94,2,23,0.013518989903338543
95,3,23,0.0034717205310588824
