,station number,bikes out,bikes in,diff,diff_abs,imbalance ratio
0,31000,115,152,37,37,0.3217391304347826
1,31001,142,118,-24,24,0.2033898305084746
2,31002,259,297,38,38,0.14671814671814673
3,31003,198,234,36,36,0.18181818181818182
4,31004,158,154,-4,4,0.025974025974025976
5,31005,327,317,-10,10,0.031545741324921134
6,31006,146,181,35,35,0.23972602739726026
7,31007,455,382,-73,73,0.19109947643979058
8,31008,228,234,6,6,0.02631578947368421
9,31009,208,186,-22,22,0.11827956989247312
10,31010,139,138,-1,1,0.007246376811594203
11,31011,191,260,69,69,0.3612565445026178
12,31012,152,133,-19,19,0.14285714285714285
13,31013,113,119,6,6,0.05309734513274336
14,31014,550,852,302,302,0.5490909090909091
15,31015,214,445,231,231,1.0794392523364487
16,31016,254,228,-26,26,0.11403508771929824
17,31017,268,138,-130,130,0.9420289855072463
18,31018,114,87,-27,27,0.3103448275862069
19,31019,136,121,-15,15,0.12396694214876033
20,31020,188,118,-70,70,0.5932203389830508
21,31021,192,142,-50,50,0.352112676056338
22,31022,301,222,-79,79,0.35585585585585583
23,31023,150,126,-24,24,0.19047619047619047
24,31024,406,375,-31,31,0.08266666666666667
25,31025,105,93,-12,12,0.12903225806451613
26,31026,150,75,-75,75,1.0
27,31027,101,81,-20,20,0.24691358024691357
28,31028,63,49,-14,14,0.2857142857142857
29,31029,214,183,-31,31,0.16939890710382513
30,31030,285,190,-95,95,0.5
31,31031,152,119,-33,33,0.2773109243697479
32,31032,68,48,-20,20,0.4166666666666667
33,31033,30,33,3,3,0.1
34,31034,138,123,-15,15,0.12195121951219512
35,31035,128,100,-28,28,0.28
36,31036,137,113,-24,24,0.21238938053097345
37,31037,495,437,-58,58,0.13272311212814644
38,31038,145,141,-4,4,0.028368794326241134
39,31039,309,261,-48,48,0.1839080459770115
40,31040,138,92,-46,46,0.5
41,31041,105,212,107,107,1.019047619047619
42,31042,242,238,-4,4,0.01680672268907563
43,31043,83,85,2,2,0.024096385542168676
44,31044,147,165,18,18,0.12244897959183673
45,31045,82,89,7,7,0.08536585365853659
46,31046,83,60,-23,23,0.38333333333333336
47,31047,583,463,-120,120,0.2591792656587473
48,31048,219,99,-120,120,1.2121212121212122
49,31049,104,89,-15,15,0.16853932584269662
50,31050,104,96,-8,8,0.08333333333333333
51,31051,98,88,-10,10,0.11363636363636363
52,31052,123,147,24,24,0.1951219512195122
53,31053,112,84,-28,28,0.3333333333333333
54,31054,12,16,4,4,0.3333333333333333
55,31055,27,44,17,17,0.6296296296296297
56,31056,52,47,-5,5,0.10638297872340426
57,31057,26,27,1,1,0.038461538461538464
58,31058,19,18,-1,1,0.05555555555555555
59,31059,45,53,8,8,0.17777777777777778
60,31060,64,85,21,21,0.328125
61,31061,8,10,2,2,0.25
62,31062,2,1,-1,1,1.0
63,31063,34,29,-5,5,0.1724137931034483
64,31064,3,4,1,1,0.3333333333333333
65,31065,112,99,-13,13,0.13131313131313133
66,31066,51,57,6,6,0.11764705882352941
67,31067,100,120,20,20,0.2
68,31068,51,66,15,15,0.29411764705882354
69,31069,166,152,-14,14,0.09210526315789473
70,31070,72,106,34,34,0.4722222222222222
71,31071,20,21,1,1,0.05
72,31072,12,4,-8,8,2.0
73,31073,59,47,-12,12,0.2553191489361702
74,31074,84,108,24,24,0.2857142857142857
75,31075,36,36,0,0,0.0
76,31076,28,75,47,47,1.6785714285714286
77,31077,222,254,32,32,0.14414414414414414
78,31078,44,52,8,8,0.18181818181818182
79,31079,166,133,-33,33,0.24812030075187969
80,31080,217,162,-55,55,0.3395061728395062
81,31081,109,72,-37,37,0.5138888888888888
82,31082,101,69,-32,32,0.463768115942029
83,31083,128,153,25,25,0.1953125
84,31084,146,144,-2,2,0.013888888888888888
85,31085,80,61,-19,19,0.3114754098360656
86,31086,61,93,32,32,0.5245901639344263
87,31087,146,123,-23,23,0.18699186991869918
88,31088,101,111,10,10,0.09900990099009901
89,31089,480,361,-119,119,0.3296398891966759
90,31090,50,53,3,3,0.06
91,31091,192,159,-33,33,0.20754716981132076
92,31092,21,20,-1,1,0.05
93,31093,151,103,-48,48,0.46601941747572817
94,31094,40,75,35,35,0.875
95,31095,30,10,-20,20,2.0
96,31096,40,45,5,5,0.125
97,31097,87,112,25,25,0.28735632183908044
98,31098,320,390,70,70,0.21875
99,31099,66,50,-16,16,0.32
100,31100,550,497,-53,53,0.10663983903420524
101,31101,1660,1817,157,157,0.09457831325301205
102,31102,911,709,-202,202,0.2849083215796897
103,31103,968,446,-522,522,1.1704035874439462
104,31104,1116,929,-187,187,0.20129171151776104
105,31105,507,211,-296,296,1.4028436018957346
106,31106,275,105,-170,170,1.619047619047619
107,31107,735,617,-118,118,0.1912479740680713
108,31108,1039,1141,102,102,0.09817131857555342
109,31109,1000,1089,89,89,0.089
110,31110,1268,1190,-78,78,0.06554621848739496
111,31111,673,699,26,26,0.03863298662704309
112,31112,123,122,-1,1,0.00819672131147541
113,31113,721,409,-312,312,0.7628361858190709
114,31114,1104,922,-182,182,0.19739696312364424
115,31115,606,387,-219,219,0.5658914728682171
116,31116,912,962,50,50,0.05482456140350877
117,31117,723,402,-321,321,0.7985074626865671
118,31118,473,422,-51,51,0.12085308056872038
119,31119,1041,908,-133,133,0.14647577092511013
120,31120,401,342,-59,59,0.17251461988304093
121,31121,1093,943,-150,150,0.15906680805938495
122,31122,622,402,-220,220,0.5472636815920398
123,31123,666,231,-435,435,1.8831168831168832
124,31124,1583,968,-615,615,0.6353305785123967
