,Station,bikes out,bikes in,diff,diff_abs,imbalance ratio,ratio,class,name,longitude,latitude
0,31000,115,152,37,37,0.3217391304347826,3.2173913043478257,1,Eads St & 15th St S,-77.05323,38.858971
1,31001,142,118,-24,24,0.2033898305084746,-2.0338983050847457,0,18th St & S Eads St,-77.05332,38.85725
2,31002,259,297,38,38,0.14671814671814673,1.4671814671814674,1,Crystal Dr & 20th St S,-77.049232,38.856425
3,31003,198,234,36,36,0.18181818181818185,1.8181818181818183,1,Crystal Dr & 15th St S,-77.049593,38.86017
4,31004,158,154,-4,4,0.025974025974025976,-0.25974025974025977,0,Aurora Hills Cmty Ctr / 18th St & S Hayes St,-77.05949,38.857866
5,31005,327,317,-10,10,0.031545741324921134,-0.31545741324921134,0,Pentagon City Metro / 12th St & S Hayes St,-77.059936,38.862303
6,31006,146,181,35,35,0.23972602739726026,2.3972602739726026,1,Army Navy Dr & S Joyce St,-77.0633,38.8637
7,31007,455,382,-73,73,0.19109947643979056,-1.910994764397906,0,Crystal City Metro / 18th St & S Bell St,-77.05113172531128,38.85740496261504
8,31009,208,186,-22,22,0.11827956989247312,-1.1827956989247312,0,Crystal Dr & 27th St S,-77.051514,38.848466
9,31010,139,138,-1,1,0.007246376811594203,-0.07246376811594203,0,S Glebe Rd & Potomac Ave,-77.0502,38.8426
10,31011,191,260,69,69,0.3612565445026178,3.6125654450261777,1,Crystal Dr & 23rd St S,-77.0498,38.8533
11,31012,152,133,-19,19,0.14285714285714285,-1.4285714285714284,0,Clark St & 26th St S,-77.05152,38.850688
12,31013,113,119,6,6,0.05309734513274336,0.5309734513274336,1,Eads St & 22nd St S,-77.05341160297394,38.85438051517749
13,31014,550,852,302,302,0.5490909090909091,5.49090909090909,1,Lynn St & 19th St North,-77.070993,38.897315
14,31015,214,445,231,231,1.0794392523364489,10.794392523364486,1,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,-77.072305,38.8946
15,31016,254,228,-26,26,0.11403508771929825,-1.1403508771929824,0,Clarendon Blvd & Pierce St,-77.076389,38.893438
16,31017,268,138,-130,130,0.9420289855072465,-9.420289855072463,0,Wilson Blvd & N Uhle St,-77.0846,38.891696
17,31018,114,87,-27,27,0.3103448275862069,-3.103448275862069,0,Rhodes St & 16th St N,-77.079375,38.892164
18,31019,136,121,-15,15,0.12396694214876032,-1.2396694214876034,0,Wilson Blvd & N Edgewood St,-77.0925,38.889
19,31020,188,118,-70,70,0.5932203389830508,-5.932203389830509,0,Wilson Blvd & N Franklin Rd,-77.0889,38.8904
20,31021,192,142,-50,50,0.35211267605633795,-3.52112676056338,0,Clarendon Blvd & N Fillmore St,-77.09308,38.8881
21,31022,301,222,-79,79,0.35585585585585583,-3.558558558558558,0,Clarendon Metro / Wilson Blvd & N Highland St,-77.094875,38.88786
